"vote","prtvede1","prtvede2","gndr","agea"
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",71
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",87
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",33
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",43
"Not eligible to vote",NA,NA,"Male",17
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",85
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",57
"Yes","The Greens","The Greens","Female",29
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",29
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",43
"Yes","Other","Other","Female",71
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",43
"Yes","Social Democratic Party (SPD)","The Greens","Female",26
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",47
"No",NA,NA,"Female",18
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",57
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",80
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",73
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",65
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Male",62
"Not eligible to vote",NA,NA,"Male",25
"Yes",NA,NA,"Female",34
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",62
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",47
"Yes","Social Democratic Party (SPD)","The Greens","Male",62
"No",NA,NA,"Male",56
"Yes","Christian Democratic Union (CDU/CSU)","Other","Male",22
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",61
"Yes","The Greens","The Greens","Male",68
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Female",71
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",46
"Yes","The Greens","The Greens","Female",30
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",23
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",20
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",69
"Yes",NA,NA,"Male",66
"No",NA,NA,"Female",63
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",66
"Yes",NA,NA,"Female",75
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",44
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",59
"Yes",NA,NA,"Male",60
"Yes",NA,"Social Democratic Party (SPD)","Female",31
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",62
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",56
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",60
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",61
"Yes","The Greens","The Greens","Female",51
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Female",59
"No",NA,NA,"Female",85
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",78
"No",NA,NA,"Female",29
"No",NA,NA,"Male",72
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",54
"Yes","The Greens","The Greens","Female",62
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",67
"Yes","The Greens","The Left (Die Linke)","Male",66
"Yes","The Greens","Social Democratic Party (SPD)","Female",59
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",54
"No",NA,NA,"Male",40
"Yes",NA,"Social Democratic Party (SPD)","Male",73
"Yes","The Greens","The Greens","Female",51
"Yes","Christian Democratic Union (CDU/CSU)","Alternative for Germany (AFD)","Male",35
"Yes","The Left (Die Linke)","Social Democratic Party (SPD)","Female",46
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",30
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",28
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",33
"Not eligible to vote",NA,NA,"Female",18
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",62
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",70
"Yes","The Greens","Free Democratic Party (FDP)","Female",73
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",75
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",59
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",71
"Yes","Social Democratic Party (SPD)","Alternative for Germany (AFD)","Male",52
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",62
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",43
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",63
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",62
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",43
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",58
"Yes",NA,NA,"Female",26
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",53
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",56
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Female",29
"No",NA,NA,"Female",44
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",59
"Yes",NA,NA,"Female",54
"Yes",NA,NA,"Female",43
"Yes",NA,"The Greens","Male",42
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",67
"Yes","Social Democratic Party (SPD)","The Greens","Female",61
"Not eligible to vote",NA,NA,"Female",15
"Yes",NA,NA,"Female",89
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",57
"No",NA,NA,"Female",60
"Yes","The Greens","The Greens","Female",51
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",50
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",64
"Yes","The Greens","The Greens","Female",55
"Yes",NA,NA,"Male",71
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",56
"Yes","Other","Christian Democratic Union (CDU/CSU)","Female",36
"Not eligible to vote",NA,NA,"Male",16
"Not eligible to vote",NA,NA,"Male",24
"Not eligible to vote",NA,NA,"Male",19
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",27
"Yes","The Greens","Social Democratic Party (SPD)","Male",43
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",44
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",68
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",73
"Not eligible to vote",NA,NA,"Male",18
"Yes",NA,NA,"Male",75
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",65
"Yes","The Greens","The Greens","Male",32
"Yes",NA,"Social Democratic Party (SPD)","Male",70
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",55
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",61
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",42
"Yes",NA,NA,"Male",68
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",65
"Yes","Social Democratic Party (SPD)","The Greens","Female",26
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",37
"Not eligible to vote",NA,NA,"Male",23
"Yes","The Greens","The Greens","Male",40
"Not eligible to vote",NA,NA,"Female",29
"Yes",NA,"The Greens","Female",55
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",53
"Yes","Social Democratic Party (SPD)","The Greens","Male",53
"Yes","The Greens","The Greens","Male",19
"Not eligible to vote",NA,NA,"Male",51
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",75
"Yes",NA,"Social Democratic Party (SPD)","Male",55
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",69
"Yes","Other","Other","Female",63
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",72
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",50
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Female",61
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",46
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Male",51
NA,NA,NA,"Female",62
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",36
"Yes","Free Democratic Party (FDP)",NA,"Male",72
"Yes","Social Democratic Party (SPD)","The Greens","Female",54
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",56
"Yes","The Greens","Social Democratic Party (SPD)","Male",79
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",46
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",64
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",62
"Yes","The Greens","The Greens","Female",43
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",45
"No",NA,NA,"Female",69
"Not eligible to vote",NA,NA,"Male",18
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",36
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",25
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",52
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",69
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",77
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",75
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",65
"No",NA,NA,"Female",34
"No",NA,NA,"Male",36
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",57
"Yes","The Greens","The Greens","Male",33
"Not eligible to vote",NA,NA,"Female",18
"No",NA,NA,"Female",49
"Yes",NA,NA,"Female",67
"Yes","Other","Christian Democratic Union (CDU/CSU)","Female",42
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",51
"No",NA,NA,"Male",19
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",67
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",53
"No",NA,NA,"Male",42
"Yes","The Greens","The Greens","Female",23
"Yes",NA,"Free Democratic Party (FDP)","Male",57
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",45
"No",NA,NA,"Female",19
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",48
"No",NA,NA,"Female",41
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",63
"Yes",NA,NA,"Female",34
"Yes","Other","Other","Female",47
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",52
"No",NA,NA,"Female",34
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",67
"Yes","Social Democratic Party (SPD)",NA,"Female",72
"No",NA,NA,"Male",37
"Yes","The Greens","Free Democratic Party (FDP)","Male",58
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",24
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",67
"Not eligible to vote",NA,NA,"Male",37
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",76
"Not eligible to vote",NA,NA,"Female",44
"Yes",NA,"Social Democratic Party (SPD)","Female",53
"Not eligible to vote",NA,NA,"Female",53
"Yes",NA,NA,"Male",31
"No",NA,NA,"Female",19
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",63
"Not eligible to vote",NA,NA,"Female",16
"Yes",NA,NA,"Male",20
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",53
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",85
"Not eligible to vote",NA,NA,"Male",31
"Yes","The Greens","The Greens","Male",55
"Not eligible to vote",NA,NA,"Male",31
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",76
"Yes","The Greens","The Greens","Female",45
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",36
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",62
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",56
"Yes",NA,"Social Democratic Party (SPD)","Male",58
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",27
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",27
"Yes","The Greens","The Greens","Female",41
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",84
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",22
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",63
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",49
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",47
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",53
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",63
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Male",52
"Yes","The Greens","The Greens","Female",51
"Yes",NA,NA,"Male",33
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",66
"Not eligible to vote",NA,NA,"Female",16
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",70
"Yes",NA,NA,"Female",32
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",81
"Yes",NA,"The Greens","Male",21
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",41
"No",NA,NA,"Female",23
"Yes","The Greens","The Greens","Female",57
"Yes",NA,"Social Democratic Party (SPD)","Male",76
"Yes",NA,NA,"Male",25
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",48
"Yes",NA,NA,"Female",63
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",30
"No",NA,NA,"Female",16
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",90
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",58
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",51
"Yes",NA,NA,"Male",30
"Yes",NA,NA,"Female",66
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",53
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",43
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",30
"Yes",NA,NA,"Male",67
"Not eligible to vote",NA,NA,"Female",16
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",27
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",63
"Not eligible to vote",NA,NA,"Male",16
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",19
"Yes","Social Democratic Party (SPD)","The Greens","Female",37
"Not eligible to vote",NA,NA,"Female",17
"No",NA,NA,"Female",78
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",54
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",86
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Male",66
"Not eligible to vote",NA,NA,"Female",66
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",75
"No",NA,NA,"Male",26
"Yes","The Greens","The Greens","Female",48
"Not eligible to vote",NA,NA,"Male",64
"Not eligible to vote",NA,NA,"Female",54
"Yes",NA,NA,"Female",60
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",49
"Yes",NA,NA,"Female",46
"Yes",NA,NA,"Male",66
"Not eligible to vote",NA,NA,"Female",24
"Yes","Social Democratic Party (SPD)","Other","Female",33
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",28
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",61
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",18
"Not eligible to vote",NA,NA,"Female",35
"Yes",NA,NA,"Female",46
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",37
"Yes","Social Democratic Party (SPD)","Other","Female",31
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",58
"Yes","The Greens","The Greens","Female",50
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",47
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",35
"No",NA,NA,"Male",75
"Yes","The Greens","The Greens","Female",54
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",60
"Yes",NA,NA,"Male",53
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",50
"Yes","Free Democratic Party (FDP)","Social Democratic Party (SPD)","Male",68
"Yes","Social Democratic Party (SPD)","The Greens","Female",72
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",78
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",30
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",67
"Not eligible to vote",NA,NA,"Male",16
"Yes","The Greens","The Greens","Female",64
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",42
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",82
"No",NA,NA,"Male",55
"Not eligible to vote",NA,NA,"Male",16
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",23
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",55
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",53
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",60
"Yes",NA,NA,"Female",34
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",32
"Yes",NA,NA,"Male",70
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",63
"Not eligible to vote",NA,NA,"Male",61
"Yes","Free Democratic Party (FDP)","Social Democratic Party (SPD)","Male",50
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",26
"Not eligible to vote",NA,NA,"Female",16
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",47
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",86
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",69
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",77
"Yes","Social Democratic Party (SPD)","The Greens","Male",32
"Yes","Social Democratic Party (SPD)","The Greens","Female",52
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",75
"Not eligible to vote",NA,NA,"Male",70
"No",NA,NA,"Male",NA
"No",NA,NA,"Male",60
"Yes","Social Democratic Party (SPD)","The Greens","Female",38
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",64
"Yes","The Greens","The Greens","Male",55
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",75
"Not eligible to vote",NA,NA,"Male",16
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",54
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",22
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",62
"Not eligible to vote",NA,NA,"Male",29
"Not eligible to vote",NA,NA,"Female",16
"No",NA,NA,"Male",23
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",47
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Female",54
"Yes","The Greens","The Greens","Female",63
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Male",48
"Yes",NA,NA,"Female",38
"No",NA,NA,"Female",62
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Female",72
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",26
"Yes","Social Democratic Party (SPD)","The Greens","Male",58
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",47
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",74
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",80
"Yes",NA,NA,"Female",33
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Female",51
"Not eligible to vote",NA,NA,"Female",39
"No",NA,NA,"Female",31
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",78
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",41
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Female",62
"Yes","The Greens","The Greens","Male",32
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",20
"Yes","Other","Other","Male",35
"No",NA,NA,"Female",40
"Yes",NA,NA,"Female",66
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",59
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",83
"No",NA,NA,"Male",38
"No",NA,NA,"Male",49
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",79
"No",NA,NA,"Male",40
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",45
"No",NA,NA,"Female",51
"Yes","Christian Democratic Union (CDU/CSU)","Alternative for Germany (AFD)","Female",48
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",76
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",61
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",32
"Yes","The Greens","Social Democratic Party (SPD)","Female",21
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",86
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",75
"Yes","Christian Democratic Union (CDU/CSU)","Alternative for Germany (AFD)","Female",68
"Not eligible to vote",NA,NA,"Female",33
"No",NA,NA,"Female",32
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Male",54
"No",NA,NA,"Male",45
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",51
"Yes","Social Democratic Party (SPD)","The Greens","Male",72
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",42
"Yes",NA,"Social Democratic Party (SPD)","Female",65
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",36
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",60
"Not eligible to vote",NA,NA,"Female",44
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",74
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",56
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",45
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",41
"No",NA,NA,"Female",85
"Not eligible to vote",NA,NA,"Female",45
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",45
"Yes","Social Democratic Party (SPD)","The Greens","Female",44
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",63
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",43
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",82
"Not eligible to vote",NA,NA,"Male",15
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",43
"Yes","The Greens","The Greens","Female",21
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",27
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",78
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Male",44
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",64
"Not eligible to vote",NA,NA,"Female",24
"Yes","The Greens","Social Democratic Party (SPD)","Female",23
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",41
"Yes","Christian Democratic Union (CDU/CSU)","Alternative for Germany (AFD)","Female",67
"No",NA,NA,"Female",43
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",44
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",67
"Yes",NA,"Other","Male",64
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",70
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",84
"Yes","The Greens","The Greens","Female",55
"No",NA,NA,"Female",60
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",73
"No",NA,NA,"Male",36
"Yes","Other","The Left (Die Linke)","Female",56
"Not eligible to vote",NA,NA,"Female",19
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",42
"Yes","The Greens","The Greens","Male",46
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",66
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",50
"Not eligible to vote",NA,NA,"Female",48
"Not eligible to vote",NA,NA,"Female",43
"Not eligible to vote",NA,NA,"Male",17
"Yes","The Greens","Social Democratic Party (SPD)","Male",32
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",34
"Not eligible to vote",NA,NA,"Male",18
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",64
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",61
"No",NA,NA,"Female",15
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",43
"No",NA,NA,"Male",30
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",51
"Not eligible to vote",NA,NA,"Female",17
"Yes","Social Democratic Party (SPD)","The Greens","Female",21
"Not eligible to vote",NA,NA,"Male",78
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",43
"Yes","The Greens","The Greens","Male",57
"Yes",NA,NA,"Male",85
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",52
"Yes","Social Democratic Party (SPD)","The Greens","Male",63
"Not eligible to vote",NA,NA,"Female",76
