Year,Province,Electoral District,Party,Votes Obtained,Percentage of Votes Obtained
2021,Ontario,Etobicoke--Lakeshore,Liberal,30355,47.4
2021,Ontario,Etobicoke--Lakeshore,Conservative,20457,31.9
2021,Ontario,Etobicoke--Lakeshore,NDP-New Democratic Party,8775,13.7
2021,Ontario,Etobicoke--Lakeshore,People's Party - PPC,2857,4.5
2021,Ontario,Etobicoke--Lakeshore,Green Party,1363,2.1
2021,Ontario,Etobicoke--Lakeshore,Marxist-Leninist,139,0.2
2021,Ontario,Etobicoke--Lakeshore,Parti RhinocÃ©ros Party,119,0.2
2021,Ontario,Flamborough--Glanbrook,Conservative,24370,40.6
2021,Ontario,Flamborough--Glanbrook,Liberal,21350,35.5
2021,Ontario,Flamborough--Glanbrook,NDP-New Democratic Party,9409,15.7
2021,Ontario,Flamborough--Glanbrook,People's Party - PPC,3686,6.1
2021,Ontario,Flamborough--Glanbrook,Green Party,1254,2.1
2021,Ontario,Glengarry--Prescott--Russell,Liberal,30362,46.1
2021,Ontario,Glengarry--Prescott--Russell,Conservative,21979,33.3
2021,Ontario,Glengarry--Prescott--Russell,NDP-New Democratic Party,7022,10.7
2021,Ontario,Glengarry--Prescott--Russell,People's Party - PPC,4458,6.8
2021,Ontario,Glengarry--Prescott--Russell,Green Party,1350,2
2021,Ontario,Glengarry--Prescott--Russell,Free Party Canada,422,0.6
2021,Ontario,Glengarry--Prescott--Russell,Independent,314,0.5
2021,Ontario,Guelph,Liberal,29382,42.1
2021,Ontario,Guelph,Conservative,16795,24.1
2021,Ontario,Guelph,NDP-New Democratic Party,14713,21.1
2021,Ontario,Guelph,Green Party,5250,7.5
2021,Ontario,Guelph,People's Party - PPC,3182,4.6
2021,Ontario,Guelph,Animal Protection Party,262,0.4
2021,Ontario,Guelph,Communist,187,0.3
2021,Ontario,Haldimand--Norfolk,Conservative,29664,47.4
2021,Ontario,Haldimand--Norfolk,Liberal,17224,27.5
2021,Ontario,Haldimand--Norfolk,NDP-New Democratic Party,8320,13.3
2021,Ontario,Haldimand--Norfolk,People's Party - PPC,6570,10.5
2021,Ontario,Haldimand--Norfolk,Christian Heritage Party,559,0.9
2021,Ontario,Haldimand--Norfolk,VCP,255,0.4
2021,Ontario,Haliburton--Kawartha Lakes--Brock,Conservative,35418,52.3
2021,Ontario,Haliburton--Kawartha Lakes--Brock,Liberal,15645,23.1
2021,Ontario,Haliburton--Kawartha Lakes--Brock,NDP-New Democratic Party,9730,14.4
2021,Ontario,Haliburton--Kawartha Lakes--Brock,People's Party - PPC,4769,7
2021,Ontario,Haliburton--Kawartha Lakes--Brock,Green Party,1696,2.5
2021,Ontario,Haliburton--Kawartha Lakes--Brock,Libertarian,463,0.7
2021,Ontario,Hamilton Centre/Hamilton-Centre,NDP-New Democratic Party,20105,48.7
2021,Ontario,Hamilton Centre/Hamilton-Centre,Liberal,10941,26.5
2021,Ontario,Hamilton Centre/Hamilton-Centre,Conservative,6209,15
2021,Ontario,Hamilton Centre/Hamilton-Centre,People's Party - PPC,2637,6.4
2021,Ontario,Hamilton Centre/Hamilton-Centre,Weinstein Green Party,1105,2.7
2021,Ontario,Hamilton Centre/Hamilton-Centre,Communist,184,0.4
2021,Ontario,Hamilton Centre/Hamilton-Centre,Independent,99,0.2
2021,Ontario,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,Liberal,18358,36.9
2021,Ontario,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,Conservative,13934,28
2021,Ontario,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,NDP-New Democratic Party,12748,25.6
2021,Ontario,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,People's Party - PPC,3733,7.5
2021,Ontario,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,Green Party,1020,2
2021,Ontario,Hamilton Mountain,Liberal,16548,34.1
2021,Ontario,Hamilton Mountain,NDP-New Democratic Party,15706,32.4
2021,Ontario,Hamilton Mountain,Conservative,11828,24.4
2021,Ontario,Hamilton Mountain,People's Party - PPC,3098,6.4
2021,Ontario,Hamilton Mountain,Green Party,974,2
2021,Ontario,Hamilton Mountain,Christian Heritage Party,306,0.6
2021,Ontario,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,Liberal,27845,44.3
2021,Ontario,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,Conservative,18162,28.9
2021,Ontario,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,NDP-New Democratic Party,12432,19.8
2021,Ontario,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,People's Party - PPC,2584,4.1
2021,Ontario,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,Green Party,1661,2.6
2021,Ontario,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,Parti RhinocÃ©ros Party,137,0.2
2021,Ontario,Hastings--Lennox and Addington,Conservative,24651,45.1
2021,Ontario,Hastings--Lennox and Addington,Liberal,19056,34.9
2021,Ontario,Hastings--Lennox and Addington,NDP-New Democratic Party,6020,11
2021,Ontario,Hastings--Lennox and Addington,People's Party - PPC,3131,5.7
2021,Ontario,Hastings--Lennox and Addington,Green Party,971,1.8
2021,Ontario,Hastings--Lennox and Addington,Independent,838,1.5
2021,Ontario,Humber River--Black Creek,Liberal,19533,60.7
2021,Ontario,Humber River--Black Creek,Conservative,5599,17.4
2021,Ontario,Humber River--Black Creek,NDP-New Democratic Party,5279,16.4
2021,Ontario,Humber River--Black Creek,People's Party - PPC,1258,3.9
2021,Ontario,Humber River--Black Creek,Green Party,388,1.2
2021,Ontario,Humber River--Black Creek,Marxist-Leninist,130,0.4
2021,Ontario,Huron--Bruce,Conservative,31170,50.9
2021,Ontario,Huron--Bruce,Liberal,16015,26.2
2021,Ontario,Huron--Bruce,NDP-New Democratic Party,9056,14.8
2021,Ontario,Huron--Bruce,People's Party - PPC,4437,7.3
2021,Ontario,Huron--Bruce,Independent,519,0.8
2021,Ontario,Kanata--Carleton,Liberal,26394,41.8
2021,Ontario,Kanata--Carleton,Conservative,24373,38.6
2021,Ontario,Kanata--Carleton,NDP-New Democratic Party,8822,14
2021,Ontario,Kanata--Carleton,People's Party - PPC,1858,2.9
2021,Ontario,Kanata--Carleton,Green Party,1709,2.7
2021,Ontario,Kenora,Conservative,11103,42.6
2021,Ontario,Kenora,NDP-New Democratic Party,7801,29.9
2021,Ontario,Kenora,Liberal,5190,19.9
2021,Ontario,Kenora,People's Party - PPC,1625,6.2
2021,Ontario,Kenora,Green Party,364,1.4
2021,Ontario,King--Vaughan,Conservative,22534,45.1
2021,Ontario,King--Vaughan,Liberal,21458,42.9
2021,Ontario,King--Vaughan,NDP-New Democratic Party,3234,6.5
2021,Ontario,King--Vaughan,People's Party - PPC,2149,4.3
2021,Ontario,King--Vaughan,Green Party,620,1.2
2021,Ontario,Kingston and the Islands/Kingston et les ÃŽles,Liberal,27724,41.1
2021,Ontario,Kingston and the Islands/Kingston et les ÃŽles,NDP-New Democratic Party,19775,29.3
2021,Ontario,Kingston and the Islands/Kingston et les ÃŽles,Conservative,16019,23.7
2021,Ontario,Kingston and the Islands/Kingston et les ÃŽles,People's Party - PPC,2314,3.4
2021,Ontario,Kingston and the Islands/Kingston et les ÃŽles,Green Party,1673,2.5
2021,Ontario,Kitchener Centre/Kitchener-Centre,Green Party,17872,34.9
2021,Ontario,Kitchener Centre/Kitchener-Centre,Conservative,12537,24.5
2021,Ontario,Kitchener Centre/Kitchener-Centre,NDP-New Democratic Party,8938,17.5
2021,Ontario,Kitchener Centre/Kitchener-Centre,Liberal,8297,16.2
2021,Ontario,Kitchener Centre/Kitchener-Centre,People's Party - PPC,3381,6.6
2021,Ontario,Kitchener Centre/Kitchener-Centre,Animal Protection Party,154,0.3
2021,Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,Liberal,18596,37.5
2021,Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,Conservative,17649,35.5
2021,Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,NDP-New Democratic Party,8079,16.3
2021,Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,People's Party - PPC,3351,6.7
2021,Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,Green Party,1710,3.4
2021,Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,Independent,119,0.2
2021,Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,Parti RhinocÃ©ros Party,93,0.2
2021,Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,Marxist-Leninist,57,0.1
2021,Ontario,Kitchener--Conestoga,Liberal,20025,39.3
2021,Ontario,Kitchener--Conestoga,Conservative,19448,38.2
2021,Ontario,Kitchener--Conestoga,NDP-New Democratic Party,5948,11.7
2021,Ontario,Kitchener--Conestoga,People's Party - PPC,3690,7.2
2021,Ontario,Kitchener--Conestoga,Green Party,1842,3.6
2021,Ontario,Lambton--Kent--Middlesex,Conservative,29431,48.5
2021,Ontario,Lambton--Kent--Middlesex,Liberal,12552,20.7
2021,Ontario,Lambton--Kent--Middlesex,NDP-New Democratic Party,11107,18.3
2021,Ontario,Lambton--Kent--Middlesex,People's Party - PPC,6567,10.8
2021,Ontario,Lambton--Kent--Middlesex,Green Party,1035,1.7
2021,Ontario,Lanark--Frontenac--Kingston,Conservative,30761,48.9
2021,Ontario,Lanark--Frontenac--Kingston,Liberal,16617,26.4
2021,Ontario,Lanark--Frontenac--Kingston,NDP-New Democratic Party,9828,15.6
2021,Ontario,Lanark--Frontenac--Kingston,People's Party - PPC,3830,6.1
2021,Ontario,Lanark--Frontenac--Kingston,Green Party,1664,2.6
2021,Ontario,Lanark--Frontenac--Kingston,Parti RhinocÃ©ros Party,211,0.3
2021,Ontario,Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes,Conservative,29950,50.5
2021,Ontario,Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes,Liberal,14935,25.2
2021,Ontario,Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes,NDP-New Democratic Party,8863,15
2021,Ontario,Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes,People's Party - PPC,3394,5.7
2021,Ontario,Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes,Green Party,2134,3.6
2021,Ontario,London North Centre/London-Centre-Nord,Liberal,22921,39.1
2021,Ontario,London North Centre/London-Centre-Nord,Conservative,15889,27.1
2021,Ontario,London North Centre/London-Centre-Nord,NDP-New Democratic Party,15611,26.6
2021,Ontario,London North Centre/London-Centre-Nord,People's Party - PPC,2902,5
2021,Ontario,London North Centre/London-Centre-Nord,Green Party,1297,2.2
2021,Ontario,London West/London-Ouest,Liberal,25308,36.9
2021,Ontario,London West/London-Ouest,Conservative,22273,32.5
2021,Ontario,London West/London-Ouest,NDP-New Democratic Party,16858,24.6
2021,Ontario,London West/London-Ouest,People's Party - PPC,3409,5
2021,Ontario,London West/London-Ouest,Libertarian,773,1.1
2021,Ontario,London--Fanshawe,NDP-New Democratic Party,22336,43.4
2021,Ontario,London--Fanshawe,Conservative,12486,24.3
2021,Ontario,London--Fanshawe,Liberal,11882,23.1
2021,Ontario,London--Fanshawe,People's Party - PPC,4718,9.2
2021,Ontario,Markham--Stouffville,Liberal,29773,51
2021,Ontario,Markham--Stouffville,Conservative,20740,35.5
2021,Ontario,Markham--Stouffville,NDP-New Democratic Party,4961,8.5
2021,Ontario,Markham--Stouffville,People's Party - PPC,1869,3.2
2021,Ontario,Markham--Stouffville,Green Party,1049,1.8
2021,Ontario,Markham--Thornhill,Liberal,23709,61.5
2021,Ontario,Markham--Thornhill,Conservative,10136,26.3
2021,Ontario,Markham--Thornhill,NDP-New Democratic Party,3222,8.4
2021,Ontario,Markham--Thornhill,Green Party,813,2.1
2021,Ontario,Markham--Thornhill,People's Party - PPC,648,1.7
2021,Ontario,Markham--Unionville,Liberal,21958,48.6
2021,Ontario,Markham--Unionville,Conservative,18959,41.9
2021,Ontario,Markham--Unionville,NDP-New Democratic Party,3001,6.6
2021,Ontario,Markham--Unionville,Green Party,1306,2.9
2021,Ontario,Milton,Liberal,28503,51.5
2021,Ontario,Milton,Conservative,18313,33.1
2021,Ontario,Milton,NDP-New Democratic Party,4925,8.9
2021,Ontario,Milton,People's Party - PPC,2365,4.3
2021,Ontario,Milton,Green Party,1280,2.3
2021,Ontario,Mississauga Centre/Mississauga-Centre,Liberal,25719,54.2
2021,Ontario,Mississauga Centre/Mississauga-Centre,Conservative,13390,28.2
2021,Ontario,Mississauga Centre/Mississauga-Centre,NDP-New Democratic Party,5331,11.2
2021,Ontario,Mississauga Centre/Mississauga-Centre,People's Party - PPC,2128,4.5
2021,Ontario,Mississauga Centre/Mississauga-Centre,Green Party,863,1.8
2021,Ontario,Mississauga East--Cooksville/Mississauga-Est--Cooksville,Liberal,22806,50
2021,Ontario,Mississauga East--Cooksville/Mississauga-Est--Cooksville,Conservative,14722,32.3
2021,Ontario,Mississauga East--Cooksville/Mississauga-Est--Cooksville,NDP-New Democratic Party,4678,10.3
2021,Ontario,Mississauga East--Cooksville/Mississauga-Est--Cooksville,People's Party - PPC,2933,6.4
2021,Ontario,Mississauga East--Cooksville/Mississauga-Est--Cooksville,Independent,329,0.7
2021,Ontario,Mississauga East--Cooksville/Mississauga-Est--Cooksville,Marxist-Leninist,107,0.2
2021,Ontario,Mississauga--Erin Mills,Liberal,25866,51
2021,Ontario,Mississauga--Erin Mills,Conservative,17088,33.7
2021,Ontario,Mississauga--Erin Mills,NDP-New Democratic Party,5178,10.2
2021,Ontario,Mississauga--Erin Mills,People's Party - PPC,1711,3.4
2021,Ontario,Mississauga--Erin Mills,Green Party,829,1.6
2021,Ontario,Mississauga--Lakeshore,Liberal,25284,44.9
2021,Ontario,Mississauga--Lakeshore,Conservative,21761,38.7
2021,Ontario,Mississauga--Lakeshore,NDP-New Democratic Party,5488,9.8
2021,Ontario,Mississauga--Lakeshore,People's Party - PPC,2367,4.2
2021,Ontario,Mississauga--Lakeshore,Green Party,1265,2.2
2021,Ontario,Mississauga--Lakeshore,Parti RhinocÃ©ros Party,94,0.2
2021,Ontario,Mississauga--Malton,Liberal,21766,52.8
2021,Ontario,Mississauga--Malton,Conservative,12625,30.6
2021,Ontario,Mississauga--Malton,NDP-New Democratic Party,5771,14
2021,Ontario,Mississauga--Malton,Green Party,811,2
2021,Ontario,Mississauga--Malton,Marxist-Leninist,275,0.7
2021,Ontario,Mississauga--Streetsville,Liberal,23698,47.3
2021,Ontario,Mississauga--Streetsville,Conservative,17131,34.2
2021,Ontario,Mississauga--Streetsville,NDP-New Democratic Party,6186,12.3
2021,Ontario,Mississauga--Streetsville,People's Party - PPC,1851,3.7
2021,Ontario,Mississauga--Streetsville,Green Party,1048,2.1
2021,Ontario,Mississauga--Streetsville,Animal Protection Party,210,0.4
2021,Ontario,Nepean,Liberal,29620,45.1
2021,Ontario,Nepean,Conservative,22184,33.7
2021,Ontario,Nepean,NDP-New Democratic Party,10786,16.4
2021,Ontario,Nepean,People's Party - PPC,1840,2.8
2021,Ontario,Nepean,Green Party,1318,2
2021,Ontario,Newmarket--Aurora,Liberal,24208,43.8
2021,Ontario,Newmarket--Aurora,Conservative,21173,38.3
2021,Ontario,Newmarket--Aurora,NDP-New Democratic Party,6338,11.5
2021,Ontario,Newmarket--Aurora,People's Party - PPC,2296,4.2
2021,Ontario,Newmarket--Aurora,Green Party,1015,1.8
2021,Ontario,Newmarket--Aurora,Independent,260,0.5
2021,Ontario,Niagara Centre/Niagara-Centre,Liberal,20576,35
2021,Ontario,Niagara Centre/Niagara-Centre,Conservative,18324,31.2
2021,Ontario,Niagara Centre/Niagara-Centre,NDP-New Democratic Party,14086,24
2021,Ontario,Niagara Centre/Niagara-Centre,People's Party - PPC,4670,7.9
2021,Ontario,Niagara Centre/Niagara-Centre,Green Party,1123,1.9
2021,Ontario,Niagara Falls,Conservative,26810,37.9
2021,Ontario,Niagara Falls,Liberal,23650,33.5
2021,Ontario,Niagara Falls,NDP-New Democratic Party,12871,18.2
2021,Ontario,Niagara Falls,People's Party - PPC,5948,8.4
2021,Ontario,Niagara Falls,Green Party,1370,1.9
2021,Ontario,Niagara West/Niagara-Ouest,Conservative,25206,45.6
2021,Ontario,Niagara West/Niagara-Ouest,Liberal,16815,30.4
2021,Ontario,Niagara West/Niagara-Ouest,NDP-New Democratic Party,7064,12.8
2021,Ontario,Niagara West/Niagara-Ouest,People's Party - PPC,3933,7.1
2021,Ontario,Niagara West/Niagara-Ouest,Green Party,1602,2.9
2021,Ontario,Niagara West/Niagara-Ouest,Christian Heritage Party,657,1.2
2021,Ontario,Nickel Belt,Liberal,17353,35.2
2021,Ontario,Nickel Belt,Conservative,13425,27.2
2021,Ontario,Nickel Belt,NDP-New Democratic Party,13137,26.6
2021,Ontario,Nickel Belt,People's Party - PPC,4558,9.2
2021,Ontario,Nickel Belt,Green Party,848,1.7
2021,Ontario,Nipissing--Timiskaming,Liberal,18405,38.8
2021,Ontario,Nipissing--Timiskaming,Conservative,15104,31.8
2021,Ontario,Nipissing--Timiskaming,NDP-New Democratic Party,10493,22.1
2021,Ontario,Nipissing--Timiskaming,People's Party - PPC,3494,7.4
2021,Ontario,Northumberland--Peterborough South/Northumberland--Peterborough-Sud,Conservative,31015,44.5
2021,Ontario,Northumberland--Peterborough South/Northumberland--Peterborough-Sud,Liberal,23336,33.5
2021,Ontario,Northumberland--Peterborough South/Northumberland--Peterborough-Sud,NDP-New Democratic Party,9809,14.1
2021,Ontario,Northumberland--Peterborough South/Northumberland--Peterborough-Sud,People's Party - PPC,3813,5.5
2021,Ontario,Northumberland--Peterborough South/Northumberland--Peterborough-Sud,Green Party,1764,2.5
2021,Ontario,Oakville,Liberal,28137,46.1
2021,Ontario,Oakville,Conservative,24430,40
2021,Ontario,Oakville,NDP-New Democratic Party,5373,8.8
2021,Ontario,Oakville,People's Party - PPC,1970,3.2
2021,Ontario,Oakville,Green Party,1090,1.8
2021,Ontario,Oakville North--Burlington/Oakville-Nord--Burlington,Liberal,30910,46.8
2021,Ontario,Oakville North--Burlington/Oakville-Nord--Burlington,Conservative,25091,38
2021,Ontario,Oakville North--Burlington/Oakville-Nord--Burlington,NDP-New Democratic Party,6574,10
2021,Ontario,Oakville North--Burlington/Oakville-Nord--Burlington,People's Party - PPC,2429,3.7
2021,Ontario,Oakville North--Burlington/Oakville-Nord--Burlington,Green Party,1019,1.5
2021,Ontario,OrlÃ©ans,Liberal,39101,51.9
2021,Ontario,OrlÃ©ans,Conservative,21700,28.8
2021,Ontario,OrlÃ©ans,NDP-New Democratic Party,10983,14.6
2021,Ontario,OrlÃ©ans,People's Party - PPC,2046,2.7
2021,Ontario,OrlÃ©ans,Green Party,1233,1.6
2021,Ontario,OrlÃ©ans,Free Party Canada,220,0.3
2021,Ontario,Oshawa,Conservative,22409,39.7
2021,Ontario,Oshawa,NDP-New Democratic Party,16079,28.5
2021,Ontario,Oshawa,Liberal,13044,23.1
2021,Ontario,Oshawa,People's Party - PPC,4029,7.1
2021,Ontario,Oshawa,Green Party,864,1.5
2021,Ontario,Ottawa Centre/Ottawa-Centre,Liberal,33825,45.5
2021,Ontario,Ottawa Centre/Ottawa-Centre,NDP-New Democratic Party,24552,33
2021,Ontario,Ottawa Centre/Ottawa-Centre,Conservative,11650,15.7
2021,Ontario,Ottawa Centre/Ottawa-Centre,Green Party,2115,2.8
2021,Ontario,Ottawa Centre/Ottawa-Centre,People's Party - PPC,1605,2.2
2021,Ontario,Ottawa Centre/Ottawa-Centre,Animal Protection Party,261,0.4
2021,Ontario,Ottawa Centre/Ottawa-Centre,Communist,201,0.3
2021,Ontario,Ottawa Centre/Ottawa-Centre,Independent,132,0.2
2021,Ontario,Ottawa South/Ottawa-Sud,Liberal,29038,48.8
2021,Ontario,Ottawa South/Ottawa-Sud,Conservative,15497,26
2021,Ontario,Ottawa South/Ottawa-Sud,NDP-New Democratic Party,11514,19.4
2021,Ontario,Ottawa South/Ottawa-Sud,People's Party - PPC,1898,3.2
2021,Ontario,Ottawa South/Ottawa-Sud,Green Party,1401,2.4
2021,Ontario,Ottawa South/Ottawa-Sud,Communist,144,0.2
2021,Ontario,Ottawa West--Nepean/Ottawa-Ouest--Nepean,Liberal,25889,45.1
2021,Ontario,Ottawa West--Nepean/Ottawa-Ouest--Nepean,Conservative,16473,28.7
2021,Ontario,Ottawa West--Nepean/Ottawa-Ouest--Nepean,NDP-New Democratic Party,11163,19.4
2021,Ontario,Ottawa West--Nepean/Ottawa-Ouest--Nepean,People's Party - PPC,1908,3.3
2021,Ontario,Ottawa West--Nepean/Ottawa-Ouest--Nepean,Green Party,1642,2.9
2021,Ontario,Ottawa West--Nepean/Ottawa-Ouest--Nepean,Christian Heritage Party,327,0.6
2021,Ontario,Ottawa--Vanier,Liberal,28462,49
2021,Ontario,Ottawa--Vanier,NDP-New Democratic Party,13703,23.6
2021,Ontario,Ottawa--Vanier,Conservative,11611,20
2021,Ontario,Ottawa--Vanier,People's Party - PPC,1855,3.2
2021,Ontario,Ottawa--Vanier,Green Party,1816,3.1
2021,Ontario,Ottawa--Vanier,Libertarian,248,0.4
2021,Ontario,Ottawa--Vanier,Free Party Canada,179,0.3
2021,Ontario,Ottawa--Vanier,Leriche Independent,157,0.3
2021,Ontario,Oxford,Conservative,29146,47
2021,Ontario,Oxford,Liberal,12720,20.5
2021,Ontario,Oxford,NDP-New Democratic Party,11325,18.3
2021,Ontario,Oxford,People's Party - PPC,6595,10.6
2021,Ontario,Oxford,Green Party,1683,2.7
2021,Ontario,Oxford,Christian Heritage Party,479,0.8
2021,Ontario,Parkdale--High Park,Liberal,22307,42.5
2021,Ontario,Parkdale--High Park,NDP-New Democratic Party,20602,39.2
2021,Ontario,Parkdale--High Park,Conservative,6815,13
2021,Ontario,Parkdale--High Park,Alexander Danzinger People's Party - PPC,1642,3.1
2021,Ontario,Parkdale--High Park,Green Party,957,1.8
2021,Ontario,Parkdale--High Park,Marijuana Party,130,0.2
2021,Ontario,Parkdale--High Park,Marxist-Leninist,90,0.2
2021,Ontario,Parry Sound--Muskoka,Conservative,26600,47.9
2021,Ontario,Parry Sound--Muskoka,Liberal,12014,21.6
2021,Ontario,Parry Sound--Muskoka,NDP-New Democratic Party,9339,16.8
2021,Ontario,Parry Sound--Muskoka,People's Party - PPC,4184,7.5
2021,Ontario,Parry Sound--Muskoka,Green Party,3099,5.6
2021,Ontario,Parry Sound--Muskoka,Independent,169,0.3
2021,Ontario,Parry Sound--Muskoka,National Citizens Alliance,95,0.2
2021,Ontario,Perth--Wellington,Conservative,26984,48.6
2021,Ontario,Perth--Wellington,Liberal,13684,24.6
2021,Ontario,Perth--Wellington,NDP-New Democratic Party,9552,17.2
2021,Ontario,Perth--Wellington,People's Party - PPC,5357,9.6
2021,Ontario,Peterborough--Kawartha,Conservative,27402,39
2021,Ontario,Peterborough--Kawartha,Liberal,24664,35.1
2021,Ontario,Peterborough--Kawartha,NDP-New Democratic Party,13302,18.9
2021,Ontario,Peterborough--Kawartha,People's Party - PPC,3073,4.4
2021,Ontario,Peterborough--Kawartha,Green Party,1553,2.2
2021,Ontario,Peterborough--Kawartha,Independent,218,0.3
2021,Ontario,Pickering--Uxbridge,Liberal,27271,46.9
2021,Ontario,Pickering--Uxbridge,Conservative,20976,36.1
2021,Ontario,Pickering--Uxbridge,NDP-New Democratic Party,7592,13.1
2021,Ontario,Pickering--Uxbridge,People's Party - PPC,2328,4
2021,Ontario,Renfrew--Nipissing--Pembroke,Conservative,28967,49.5
2021,Ontario,Renfrew--Nipissing--Pembroke,NDP-New Democratic Party,12263,21
2021,Ontario,Renfrew--Nipissing--Pembroke,Liberal,11335,19.4
2021,Ontario,Renfrew--Nipissing--Pembroke,People's Party - PPC,4469,7.6
2021,Ontario,Renfrew--Nipissing--Pembroke,Green Party,1111,1.9
2021,Ontario,Renfrew--Nipissing--Pembroke,Independent,373,0.6
2021,Ontario,Richmond Hill,Liberal,21784,47.7
2021,Ontario,Richmond Hill,Conservative,17715,38.8
2021,Ontario,Richmond Hill,NDP-New Democratic Party,3995,8.7
2021,Ontario,Richmond Hill,People's Party - PPC,1363,3
2021,Ontario,Richmond Hill,Independent,619,1.4
2021,Ontario,Richmond Hill,Independent,186,0.4
2021,Ontario,St. Catharines,Liberal,22069,37.8
2021,Ontario,St. Catharines,Conservative,19018,32.6
2021,Ontario,St. Catharines,NDP-New Democratic Party,12294,21.1
2021,Ontario,St. Catharines,People's Party - PPC,3860,6.6
2021,Ontario,St. Catharines,Green Party,1091,1.9
2021,Ontario,Sarnia--Lambton,Conservative,26292,46.2
2021,Ontario,Sarnia--Lambton,NDP-New Democratic Party,11990,21.1
2021,Ontario,Sarnia--Lambton,Liberal,10975,19.3
2021,Ontario,Sarnia--Lambton,People's Party - PPC,6359,11.2
2021,Ontario,Sarnia--Lambton,Green Party,848,1.5
2021,Ontario,Sarnia--Lambton,Christian Heritage Party,435,0.8
2021,Ontario,Sault Ste. Marie,Liberal,15231,37.9
2021,Ontario,Sault Ste. Marie,Conservative,14984,37.3
2021,Ontario,Sault Ste. Marie,NDP-New Democratic Party,8041,20
2021,Ontario,Sault Ste. Marie,People's Party - PPC,1923,4.8
2021,Ontario,Scarborough Centre/Scarborough-Centre,Liberal,23128,57.6
2021,Ontario,Scarborough Centre/Scarborough-Centre,Conservative,9819,24.4
2021,Ontario,Scarborough Centre/Scarborough-Centre,NDP-New Democratic Party,5479,13.6
2021,Ontario,Scarborough Centre/Scarborough-Centre,People's Party - PPC,1472,3.7
2021,Ontario,Scarborough Centre/Scarborough-Centre,Mathew National Citizens Alliance,263,0.7
2021,Ontario,Scarborough North/Scarborough-Nord,Liberal,21178,66.6
2021,Ontario,Scarborough North/Scarborough-Nord,Conservative,5999,18.9
2021,Ontario,Scarborough North/Scarborough-Nord,NDP-New Democratic Party,3514,11
2021,Ontario,Scarborough North/Scarborough-Nord,People's Party - PPC,763,2.4
2021,Ontario,Scarborough North/Scarborough-Nord,Centrist,361,1.1
2021,Ontario,Scarborough Southwest/Scarborough-Sud-Ouest,Liberal,24823,57.5
2021,Ontario,Scarborough Southwest/Scarborough-Sud-Ouest,Conservative,8981,20.8
2021,Ontario,Scarborough Southwest/Scarborough-Sud-Ouest,NDP-New Democratic Party,6924,16
2021,Ontario,Scarborough Southwest/Scarborough-Sud-Ouest,People's Party - PPC,1259,2.9
2021,Ontario,Scarborough Southwest/Scarborough-Sud-Ouest,Green Party,1068,2.5
2021,Ontario,Scarborough Southwest/Scarborough-Sud-Ouest,Poon Independent,117,0.3
2021,Ontario,Scarborough--Agincourt,Liberal,20712,56.5
2021,Ontario,Scarborough--Agincourt,Conservative,10630,29
2021,Ontario,Scarborough--Agincourt,NDP-New Democratic Party,3679,10
2021,Ontario,Scarborough--Agincourt,People's Party - PPC,978,2.7
2021,Ontario,Scarborough--Agincourt,Green Party,631,1.7
2021,Ontario,Scarborough--Guildwood,Liberal,22944,61.1
2021,Ontario,Scarborough--Guildwood,Conservative,7998,21.3
2021,Ontario,Scarborough--Guildwood,NDP-New Democratic Party,5091,13.6
2021,Ontario,Scarborough--Guildwood,People's Party - PPC,1096,2.9
2021,Ontario,Scarborough--Guildwood,Independent,155,0.4
2021,Ontario,Scarborough--Guildwood,Centrist,129,0.3
